NestID,Female,Color,FirstEggDate,IncStartDate,PredorHatch,MidFateDay,HatchDay,IncPeriod,SureOfTiming,OnBout,SDOn,nOn,OnSE,OnSE,OffBout,SDOff,nOff,OffSE,OffSE,CycleLength,PercentOn,Fate,ClutchSize,Clutch,AvgNestlingWt,AvgNestlingWing,Year,FirstBoutTime,FirstBoutResid_ControlDate,FirstBoutN,Unfaithful,Nsampled,BroodType,Note
2011-60,F2011I.BN,I.BN,187,190,Hatch,201,201,11,Yes,55.6,17.5,14,4.68,3.6,17.5,5,17,1.22,1.9,73.1,0.76,Fledged,4,Medium,6,16.8,2011,19840,-205.7,3,Yes,4,Replacement,
2011-30,F2011I.BN,I.BN,160,163,Hatch,175,175,12,Yes,46,13.8,54,1.88,1.8,14.8,4.1,59,0.53,1,60.9,0.76,Predation,4,Medium,6.5,17.1,2011,18990,-613,6,Yes,4,Replacement,
2011-13,F2011IB.N,IB.N,158,161,Hatch,173,173,12,Yes,24.6,8.7,100,0.87,1.4,10.2,5,105,0.49,0.8,34.8,0.71,Predation,4,Medium,6.1,13.5,2011,18180,-1357.7,2,Yes,2,First,
2011-55,F2011IB.N,IB.N,183,185,Hatch,197,197,12,Yes,38.8,22.5,21,4.9,3,14.2,7.8,25,1.55,1.6,52.9,0.73,Fledged,3,Small,7.6,21.5,2011,20640,761.2,2,Yes,3,Replacement,
2011-41,F2011L.PN,L.PN,168,171,Hatch,183,183,12,Yes,44.3,15.7,100,1.57,1.4,18.8,9.8,111,0.93,0.8,63.1,0.7,Predation,4,Medium,6.4,16.4,2011,19214,-502.7,9,No,4,Replacement,
2011-35,F2011L.YY,L.YY,165,168,Hatch,181,181,13,Yes,46.2,10.9,38,1.76,2.2,13.5,4.4,43,0.67,1.2,59.7,0.77,Predation,4,Medium,,,2011,18720,-980.2,5,NA,0,Replacement,
2011-23,F2011N.YW,N.YW,152,155,Hatch,167,167,12,Yes,46.1,11.7,24,2.39,2.8,12.5,3,26,0.59,1.6,58.5,0.79,Fledged,5,Large,,,2011,19680,127.8,2,No,5,First,Was called 2011-19 in some older files
2011-39,F2011W.GI,W.GI,167,170,Hatch,182,182,12,Yes,44.6,15.9,40,2.51,2.1,14.2,4.3,52,0.6,1.1,58.7,0.76,Fledged,4,Medium,7.8,22.3,2011,19700,-4.6,6,No,4,Replacement,
2011-38,F2011W.GN,W.GN,166,169,Hatch,181,181,12,Yes,37.8,10.4,37,1.71,2.2,14.9,12.1,39,1.94,1.3,52.7,0.72,Fledged,4,Medium,6.7,19.3,2011,20860,1206.2,3,No,4,Replacement,
2011-10,F2011W.WR,W.WR,149,153,Hatch,165,165,12,Yes,42.1,17.9,42,2.76,2.1,18.8,10.2,44,1.54,1.2,60.9,0.69,Fledged,5,Large,6.7,17.4,2011,22120,2611.4,3,No,5,First,
2011-42,F2011Y.LB,Y.LB,165,168,Hatch,183,183,15,Yes,35.5,12.5,31,2.24,2.4,15,9.1,33,1.58,1.4,50.5,0.7,Predation,4,Medium,,,2011,20295,579.5,4,NA,0,Replacement,
2011-48,F2011Y.NB,Y.NB,171,174,Hatch,186,186,12,Yes,29.5,14.1,118,1.29,1.3,13.4,9,123,0.81,0.7,42.9,0.69,Predation,4,Medium,,,2011,19590,-169,4,NA,0,Replacement,
2011-37,F2011YY.Y,YY.Y,164,167,Hatch,179,179,12,Yes,55.9,14.8,29,2.75,2.5,17.5,6.3,34,1.09,1.4,73.3,0.76,Predation,4,Medium,,,2011,20010,349,6,NA,0,Replacement,
2012-49,F2012.IG,.IG,189,191,Hatch,203,203,,No,35.6,12.3,11,3.7,3.7,14.3,3.2,14,0.86,0.9,49.9,0.71,Fledged,3,Small,6.3,17.7,2012,20520,517.9,3,No,3,Second,
2012-01,F2012.IG,.IG,141,144,Hatch,156,156,12,Yes,37.8,13.5,93,1.4,1.4,10.2,3.5,102,0.34,0.3,48,0.79,Fledged,4,Medium,7.4,21.1,2012,18810,-531.7,6,No,4,First,
2012-54,F2012.IL,.IL,182,184,Hatch,196,196,12,Yes,42.6,12.4,31,2.22,2.2,17.2,6.2,35,1.05,1.1,59.8,0.71,Fledged,3,Small,6,18.3,2012,19335,-609.1,4,No,3,Second,
2012-06,F2012.IL,.IL,142,145,Hatch,158,158,13,"Yes (a little weird because female was misidentified, but dates seem sound)",31.8,14.4,75,1.67,1.7,13.3,7.3,85,0.8,0.8,45.1,0.7,Fledged,4,Medium,6.2,16.8,2012,19370,13.8,6,Yes,3,First,
2012-17,F2012.LY,.LY,148,152,Hatch,164,164,12,Yes,47.9,23.4,74,2.72,2.7,15.4,5.5,80,0.62,0.6,63.3,0.76,Predation,5,Large,7.1,19.6,2012,19560,123.9,5,Yes,5,First,
2012-10,F2012.NP,.NP,149,152,Hatch,164,164,12,Yes,36.9,13,72,1.53,1.5,14.3,5.6,80,0.63,0.6,51.2,0.72,Fledged,4,Medium,6.3,17.9,2012,20750,1321.2,6,No,4,First,
2012-32,F2012.OG,.OG,159,162,Hatch,174,174,12,Yes,57.7,12.9,29,2.39,2.4,20.2,7.3,33,1.27,1.3,77.8,0.74,Fledged,4,Medium,6.4,16.4,2012,18520,-1017.7,3,Yes,4,Replacement,
2012-02,F2012B.IR,B.IR,141,144,Hatch,156,156,12,Yes,49.2,13.1,24,2.67,2.7,13.3,3.3,28,0.63,0.6,62.5,0.79,Predation,3,Small,6.8,19,2012,19000,-392.5,3,No,3,First,
2012-50,F2012BY.R,BY.R,190,191,Hatch,203,203,,No,36.5,14.2,30,2.59,2.6,18.9,8.3,35,1.4,1.4,55.3,0.66,Fledged,2,Small,4.5,13.3,2012,20560,557.9,3,No,2,Second,
2012-05,F2012BY.R,BY.R,142,146,Hatch,158,158,12,Yes,40.1,12.8,74,1.48,1.5,11.3,4.3,79,0.48,0.5,51.4,0.78,Fledged,5,Large,6.9,18.2,2012,19930,573.8,6,Yes,5,First,
2012-04,F2012I.BN,I.BN,141,144,Hatch,156,156,12,Yes,49.7,16.8,63,2.12,2.1,15.2,5.3,70,0.64,0.6,64.9,0.77,Predation,4,Medium,6,14.8,2012,19500,148.1,5,No,4,First,
2012-44,F2012I.BN,I.BN,178,180,Hatch,192,192,12,Yes,66.4,25.4,26,4.98,5,17.2,5.9,35,0.99,1,83.6,0.79,Fledged,4,Medium,6.7,20.5,2012,19650,-185.2,6,No,4,Replacement,
2012-39,F2012IB.N,IB.N,180,184,Hatch,195,195,11,Yes,51.3,8.1,8,2.88,2.9,12.6,5.1,10,1.61,1.6,63.9,0.8,Predation,4,Medium,,,2012,19000,-842.5,3,NA,0,Replacement,
2012-38,F2012L.BI,L.BI,165,168,Hatch,179,179,11,Yes,43,12.9,39,2.06,2.1,11,3.2,46,0.46,0.5,54,0.8,Fledged,4,Medium,6.1,17.9,2012,20760,1077.2,4,No,4,Replacement,
2012-45,F2012L.I,L.I,180,183,Hatch,195,195,,No,46.3,20.3,51,2.85,2.8,17.1,6.7,62,0.85,0.8,63.4,0.73,Fledged,4,Medium,8.2,24,2012,19216,-735.3,8,Yes,2,Replacement,
2012-19,F2012L.I,L.I,154,157,Hatch,169,169,12,Yes,42.8,13.3,59,1.73,1.7,14.2,4.8,69,0.58,0.6,57,0.75,Predation,4,Medium,7,18,2012,18740,-761.4,6,Yes,2,First,
2012-41,F2012L.PN,L.PN,172,174,Hatch,186,186,,No,57,11.3,29,2.1,2.1,17.1,8.1,39,1.29,1.3,74,0.77,Fledged,3,Small,6.6,17.5,2012,19261,-572.8,5,No,3,Replacement,
2012-15,F2012L.PN,L.PN,149,152,Hatch,164,164,12,Yes,42.4,11,65,1.36,1.4,15.4,7.4,71,0.87,0.9,57.7,0.73,Predation,4,Medium,,,2012,18980,-448.8,6,NA,0,First,
2012-22,F2012LG.,LG.,153,156,Hatch,169,169,13,Yes,43.2,7.4,23,1.55,1.5,17.2,6.6,26,1.29,1.3,60.4,0.71,Predation,4,Medium,,,2012,19380,-63.3,2,NA,0,First,
2012-52,F2012LR.L,LR.L,177,180,Hatch,192,192,,No,62.4,23.4,21,5.1,5.1,18.9,7,28,1.33,1.3,81.3,0.77,Fledged,4,Medium,6.6,18.6,2012,20360,408.7,6,No,4,Second,
2012-12,F2012LR.L,LR.L,147,150,Hatch,162,162,12,Yes,44.8,16.9,88,1.8,1.8,13.1,10.1,93,1.05,1,57.9,0.77,Fledged,4,Medium,7.2,19,2012,20796,1359.9,5,Yes,3,First,
2012-20,F2012NB.,NB.,154,157,Hatch,169,169,12,Yes,51.7,10.4,13,2.88,2.9,13.3,4.4,17,1.07,1.1,65,0.8,Fledged,4,Medium,6.3,17.1,2012,19280,-301.2,3,Yes,4,Replacement,
2012-18,F2012RY.,RY.,148,151,Hatch,164,164,,No (weird because lost two eggs during incubation),32.9,8.3,40,1.31,1.3,10.7,3.6,43,0.54,0.5,43.5,0.76,Predation,4,Medium,,,2012,18600,-811.9,3,NA,0,Replacement,
2012-34,F2012W.WR,W.WR,165,168,Hatch,180,180,12,Yes,58.3,15.7,52,2.17,2.2,19.3,9.5,62,1.21,1.2,77.7,0.75,Fledged,5,Large,6.9,20.7,2012,22380,2719,6,No,5,Replacement,
2012-27,F2012Y.I,Y.I,147,151,Hatch,163,163,,No,31.1,13.8,85,1.5,1.5,11.4,3.5,92,0.37,0.4,42.5,0.73,Fledged,5,Large,6.7,17.6,2012,20773,1293.4,5,No,5,First,
2012-55,F2012Y.NB,Y.NB,188,190,Hatch,202,202,,No,45.5,14.6,26,2.86,2.9,15.6,4.1,31,0.74,0.7,61.1,0.75,Fledged,3,Small,6.4,20,2012,19340,-662.1,3,Yes,3,Replacement,
2012-03,F2012Y.NB,Y.NB,141,144,Hatch,156,156,12,Yes,28.7,9,92,0.94,0.9,10.8,4.5,100,0.45,0.4,39.5,0.73,Fledged,4,Medium,6.7,18.9,2012,18390,-951.7,6,No,4,First,
2011-40,F2011.IG,.IG,,169,Pred,181,,,No,29.3,8,66,0.98,1.7,11.4,5.6,70,0.67,1,40.6,0.72,Predation,4,Medium,6.5,18.3,2011,18740,-976.7,3,Yes,4,Replacement,Was called 2011-57 in some older files
2011-46,F2011.NP,.NP,170,173,Pred,182,,,No,40.6,12.1,83,1.33,1.5,13,4.6,92,0.47,0.8,53.6,0.76,Predation,4,Medium,,,2011,19771,22.9,4,NA,0,Replacement,
2011-04,F2011LR.L,LR.L,159,162,Pred,164,,,No,43,21.7,22,4.63,2.9,12.2,4.1,26,0.8,1.6,55.2,0.78,Predation,4,Medium,,,2011,19740,376.5,3,NA,0,First,
2011-36,F2011N.LN,N.LN,167,169,Pred,174,,,No,45.2,13.6,15,3.52,3.5,15.3,3,17,0.73,1.9,60.5,0.75,Predation,3,Small,,,2011,18940,-713.8,3,NA,0,Replacement,
2011-18,F2011W.GI,W.GI,151,153,Pred,162,,,No,50.5,9.4,15,2.43,3.5,18.1,7.2,18,1.69,1.9,68.6,0.74,Predation,4,Medium,,,2011,19680,243.9,3,NA,0,First,
2011-14,F2011Y.NB,Y.NB,147,149,Pred,153,,,No,31.1,6.1,7,2.3,5.1,11.3,2.5,9,0.82,2.7,42.5,0.73,Predation,4,Medium,,,2011,18660,-696.2,2,NA,0,Replacement,
2011-25,F2011Y.NB,Y.NB,157,159,Pred,167,,,No,29.6,11.4,51,1.59,1.9,22.2,28,53,3.85,1.1,51.8,0.57,Predation,4,Medium,,,2011,19840,316.8,3,NA,0,Replacement,
2011-06,F2011YY.Y,YY.Y,144,147,Pred,160,,,No,69.4,23.7,31,4.25,2.4,20.8,8.5,36,1.41,1.3,90.2,0.77,Predation,5,Large,,,2011,18960,-436.2,4,NA,0,First,
2012-42,F2012B.IR,B.IR,173,176,Pred,181,,,No,66.2,11.2,12,3.24,3.2,16.7,5,14,1.34,1.3,82.9,0.8,Predation,4,Medium,,,2012,19320,-428.1,2,NA,0,Replacement,
2012-23,F2012G.B,G.B,154,158,Pred,164,,,No,47.1,8.7,7,3.29,3.3,24,5.6,10,1.76,1.8,71.1,0.66,Predation,4,Medium,,,2012,18640,-839.6,3,NA,0,First,
2012-37,F2012I.BN,I.BN,167,169,Pred,174,,,No,59.1,13.5,13,3.75,3.8,17.5,5.5,15,1.43,1.4,76.5,0.77,Predation,4,Medium,,,2012,19680,33.5,2,NA,0,Replacement,
2012-47,F2012LG.,LG.,185,186,Pred,200,,,No,51.2,13.6,21,2.97,3,19.4,7.9,26,1.55,1.6,70.6,0.73,Predation,3,Small,,,2012,19910,-70.4,6,NA,0,Replacement,
2012-26,F2012NP.,NP.,154,155,Pred,162,,,No,27.2,11.9,25,2.39,2.4,18,24.9,29,4.62,4.6,45.2,0.6,Predation,3,Small,,,2012,19380,-85.1,2,NA,0,First,
2012-14,F2012PN.N,PN.N,,,Pred,160,,,No,35.1,12.2,17,2.97,3,13.5,5.4,20,1.21,1.2,48.6,0.72,Predation,4,Medium,,,2012,19141,-295.1,2,NA,0,First,
2012-11,F2012W.WR,W.WR,145,147,Pred,153,,,No,59.1,15.8,16,3.95,4,17.9,3.7,20,0.82,0.8,77.1,0.77,Predation,4,Medium,,,2012,20760,1411,3,NA,0,First,
2012-53,F2012Y.I,Y.I,186,188,Pred,194,,,No,39.7,9,24,1.83,1.8,14.9,4.8,28,0.91,0.9,54.6,0.73,Predation,4,Medium,,,2012,19760,-155,3,NA,0,Second,
