USFWS	NestID	Year	Site	Sex	Weight	Wing	True Sire	Fate at Hatch	Nest Fate	EPY	social sire	Clutch	Brood.d5
ns2011-08	2011-13	2011	STAB					NH	Predation		G.BL	4	2
2450-89119	2011-19	2011	STAB		5	12	WG.L	H	Abandoned	No	WG.L	5	5
2450-89120	2011-19	2011	STAB		4.3	11.5	WG.L	H	Abandoned	No	WG.L	5	5
2450-89121	2011-19	2011	STAB		5.9	15	WG.L	H	Abandoned	No	WG.L	5	5
2450-89122	2011-19	2011	STAB		5.7	11	WG.L	H	Abandoned	No	WG.L	5	5
2450-89123	2011-19	2011	STAB		6.2	16	WG.L	H	Abandoned	No	WG.L	5	5
2450-89124	2011-26	2011	STAB		7.7	19.5	RN.R	H	Predation	No	RN.R	4	3
2450-89125	2011-26	2011	STAB		6.2	14.5	RN.R	H	Predation	No	RN.R	4	3
2450-89126	2011-26	2011	STAB		7.6	18.5	RN.R	H	Predation	No	RN.R	4	3
ns2011-09	2011-26	2011	STAB					NH	Predation		RN.R	4	3
2450-89133	2011-29	2011	STAB		5.3	14.5	GG.P	H	Fledged	No	GG.P	4	2
2450-89134	2011-29	2011	STAB		6.3	16.5	GG.P	H	Fledged	No	GG.P	4	2
ns2011-10	2011-29	2011	STAB					NH	Fledged		GG.P	4	2
ns2011-11	2011-29	2011	STAB					NH	Fledged		GG.P	4	2
2450-89130	2011-30	2011	STAB		5.9	15	W.RB	H	Predation	No	W.RB	4	4
2450-89131	2011-30	2011	STAB		6.2	17	W.RB	H	Predation	No	W.RB	4	4
2450-89132	2011-30	2011	STAB		6.6	18	W.RB	H	Predation	No	W.RB	4	4
2450-89129	2011-30	2011	STAB		7.2	18.5	N.NI	H	Predation	Yes	W.RB	4	4
2450-89135	2011-38	2011	STAB		6.7	18	W.BY	H	Fledged	No	W.BY	4	4
2450-89136	2011-38	2011	STAB		6.8	20.5	W.BY	H	Fledged	No	W.BY	4	4
2450-89137	2011-38	2011	STAB		6.9	20.5	W.BY	H	Fledged	No	W.BY	4	4
2450-89138	2011-38	2011	STAB		6.3	18	W.BY	H	Fledged	No	W.BY	4	4
2450-89139	2011-39	2011	STAB		8.2	23.5	.LG	H	Fledged	No	.LG	4	4
2450-89140	2011-39	2011	STAB		7.1	19	.LG	H	Fledged	No	.LG	4	4
2450-89141	2011-39	2011	STAB		7.9	23.5	.LG	H	Fledged	No	.LG	4	4
2450-89142	2011-39	2011	STAB		7.8	23	.LG	H	Fledged	No	.LG	4	4
2450-89143	2011-41	2011	STAB		6.3	14	B.RP	H	Predation	No	B.RP	4	4
2450-89144	2011-41	2011	STAB		6.1	17	B.RP	H	Predation	No	B.RP	4	4
2450-89145	2011-41	2011	STAB		6.3	17.5	B.RP	H	Predation	No	B.RP	4	4
2450-89146	2011-41	2011	STAB		6.7	17	B.RP	H	Predation	No	B.RP	4	4
2450-89834	2011-43	2011	STAB				.WP	H	Fledged	No	.WP	2	0
2450-89836	2011-43	2011	STAB				.WP	H	Fledged	No	.WP	2	0
2450-89148	2011-47	2011	STAB		6.5	18	IO.	H	Fledged	No	IO.	4	4
2450-89149	2011-47	2011	STAB		6.4	16.5	IO.	H	Fledged	No	IO.	4	4
2450-89147	2011-47	2011	STAB		4.6	16	WY.W	H	Fledged	Yes	IO.	4	4
2450-89150	2011-47	2011	STAB		5.7	15	Y.WB	H	Fledged	Yes	IO.	4	4
2450-89152	2011-49	2011	STAB		7.1	20.5	L.WG	H	Fledged	No	L.WG	4	4
2450-89153	2011-49	2011	STAB		6.9	20	L.WG	H	Fledged	No	L.WG	4	4
2450-89154	2011-49	2011	STAB		7.6	22.5	L.WG	H	Fledged	No	L.WG	4	4
2450-89151	2011-49	2011	STAB		6.3	18.5	I.WG	H	Fledged	Yes	L.WG	4	4
2450-89155	2011-51	2011	STAB		7	19.5	I.RN	H	Predation	Yes	GG.P	4	1
ns043	2011-51	2011	STAB				I.RN	NH	Predation	Yes	GG.P	4	1
ns2011-12	2011-51	2011	STAB					NH	Predation		GG.P	4	1
ns2011-13	2011-51	2011	STAB					NH	Predation		GG.P	4	1
2450-89156	2011-54	2011	STAB		7.1	20.5	N.YW	H	Fledged	No	WG.L	5	4
2450-89157	2011-54	2011	STAB		5.4	16.5	N.YW	H	Fledged	No	WG.L	5	4
2450-89158	2011-54	2011	STAB		6.8	20	N.YW	H	Fledged	No	WG.L	5	4
2450-89159	2011-54	2011	STAB		6.5	20	N.YW	H	Fledged	No	WG.L	5	4
ns2011-14	2011-54	2011	STAB					NH	Fledged		WG.L	5	4
2450-89161	2011-55	2011	STAB		6	18.5	.BG	H	Fledged	Yes	G.BL	3	3
2450-89162	2011-55	2011	STAB		8.6	24.5	.BG	H	Fledged	Yes	G.BL	3	3
2450-89163	2011-55	2011	STAB		8.2	21.5	.BG	H	Fledged	Yes	G.BL	3	3
2450-89160	2011-56	2011	STAB		7.9	22.5	RN.R	H	Fledged	No	RN.R	1	1
2450-89167	2011-57	2011	STAB		7.4	21	.BG	H	Predation	No	.BG	4	4
2450-89168	2011-57	2011	STAB		5.5	14.5	.BG	H	Predation	No	.BG	4	4
2450-89169	2011-57	2011	STAB		6.2	18	.BG	H	Predation	No	.BG	4	4
2450-89170	2011-57	2011	STAB		6.8	19.5	Y.WB	H	Predation	Yes	.BG	4	4
2450-89172	2011-60	2011	STAB		6.5	17.5	W.RB	H	Fledged	No	W.RB	4	4
2450-89173	2011-60	2011	STAB		5.2	13.5	W.RB	H	Fledged	No	W.RB	4	4
2450-89171	2011-60	2011	STAB		6	17.5	RN.R	H	Fledged	Yes	W.RB	4	4
2450-89174	2011-60	2011	STAB		6.2	18.5	RN.R	H	Fledged	Yes	W.RB	4	4
2450-89164	2011-62	2011	STAB		6.5	19.5	Y.GG	H	Fledged	No	Y.GG	3	3
2450-89165	2011-62	2011	STAB		5.8	16	Y.GG	H	Fledged	No	Y.GG	3	3
2450-89166	2011-62	2011	STAB		6.4	19	Y.GG	H	Fledged	No	Y.GG	3	3
2450-89176	2011-67	2011	STAB		6.4	19	I.RN	H	Fledged	No	I.RN	3	3
2450-89177	2011-67	2011	STAB		5.5	18.5	I.RN	H	Fledged	No	I.RN	3	3
2450-89175	2011-67	2011	STAB		6.4	20	GG.P	H	Fledged	Yes	I.RN	3	3
2450-89847	2012-01	2012	STAB		7.5	19.5		H	Fledged		Y.WB	4	4
2450-89848	2012-01	2012	STAB		7.7	22		H	Fledged		Y.WB	4	4
2450-89849	2012-01	2012	STAB		7	21		H	Fledged		Y.WB	4	4
2450-89850	2012-01	2012	STAB		7.4	22		H	Fledged		Y.WB	4	4
2450-89836	2012-02	2012	STAB		7	19.5		H	Predation		I.RN	3	3
2450-89837	2012-02	2012	STAB		6.3	18		H	Predation		I.RN	3	3
2450-89838	2012-02	2012	STAB		7	19.5		H	Predation		I.RN	3	3
2450-89839	2012-03	2012	STAB		6.8	19.5		H	Fledged		L.P	4	4
2450-89840	2012-03	2012	STAB		6.9	21		H	Fledged		L.P	4	4
2450-89841	2012-03	2012	STAB		6.9	17.5		H	Fledged		L.P	4	4
2450-89842	2012-03	2012	STAB		6.2	17.5		H	Fledged		L.P	4	4
2450-89843	2012-04	2012	STAB		6.4	15.5		H	Predation		.IB	4	4
2450-89844	2012-04	2012	STAB		4.7	13		H	Predation		.IB	4	4
2450-89845	2012-04	2012	STAB		6.2	14.5		H	Predation		.IB	4	4
2450-89846	2012-04	2012	STAB		6.7	16		H	Predation		.IB	4	4
2450-89854	2012-05	2012	STAB		7	18.5		H	Fledged		R.I	5	5
2450-89855	2012-05	2012	STAB		6.4	18		H	Fledged		R.I	5	5
2450-89856	2012-05	2012	STAB		6.3	17		H	Fledged		R.I	5	5
2450-89857	2012-05	2012	STAB		7.7	19.5		H	Fledged		R.I	5	5
2450-89858	2012-05	2012	STAB		6.9	18		H	Fledged		R.I	5	5
ns2012-01	2012-06	2012	STAB					NH	Fledged	NA	.IL	4	3
2450-89851	2012-06	2012	STAB		6.3	17		H	Fledged		.IL	4	3
2450-89852	2012-06	2012	STAB		6.8	17.5		H	Fledged		.IL	4	3
2450-89853	2012-06	2012	STAB		5.6	16		H	Fledged		.IL	4	3
2450-89867	2012-10	2012	STAB		6.7	19		H	Fledged		.RI	4	4
2450-89868	2012-10	2012	STAB		5.6	15.5		H	Fledged		.RI	4	4
2450-89869	2012-10	2012	STAB		6.7	19		H	Fledged		.RI	4	4
2450-89870	2012-10	2012	STAB		6.2	18		H	Fledged		.RI	4	4
ns2012-02	2012-12	2012	STAB					NH	Fledged	NA	B.RP	4	3
2450-89859	2012-12	2012	STAB		6.9	19		H	Fledged		B.RP	4	3
2450-89860	2012-12	2012	STAB		7	18.5		H	Fledged		B.RP	4	3
2450-89861	2012-12	2012	STAB		7.6	19.5		H	Fledged		B.RP	4	3
2450-89872	2012-17	2012	STAB		7.1	19		H	Predation		B.O	5	5
2450-89873	2012-17	2012	STAB		6.3	17.5		H	Predation		B.O	5	5
2450-89874	2012-17	2012	STAB		7.2	20.5		H	Predation		B.O	5	5
2450-89875	2012-17	2012	STAB		7.5	20.5		H	Predation		B.O	5	5
2450-89871	2012-17	2012	STAB		7.3	20.5		H	Predation		B.O	5	5
ns2012-03	2012-19	2012	STAB					NH	Predation	NA	O.Y	4	2
ns2012-04	2012-19	2012	STAB					NH	Predation	NA	O.Y	4	2
2450-89880	2012-19	2012	STAB		6.9	17.5		H	Predation		O.Y	4	2
2450-89881	2012-19	2012	STAB		7	18.5		H	Predation		O.Y	4	2
2450-89882	2012-20	2012	STAB		6.1	16.5		H	Fledged		O.O	4	4
2450-89883	2012-20	2012	STAB		6.4	18.5		H	Fledged		O.O	4	4
2450-89884	2012-20	2012	STAB		5.7	16.5		H	Fledged		O.O	4	4
2450-89885	2012-20	2012	STAB		6.8	17		H	Fledged		O.O	4	4
2450-89862	2012-27	2012	STAB		6.9	18		H	Fledged		L.Y	5	5
2450-89863	2012-27	2012	STAB		6.9	17		H	Fledged		L.Y	5	5
2450-89864	2012-27	2012	STAB		6.6	18		H	Fledged		L.Y	5	5
2450-89865	2012-27	2012	STAB		7	18.5		H	Fledged		L.Y	5	5
2450-89866	2012-27	2012	STAB		5.9	16.5		H	Fledged		L.Y	5	5
2450-89886	2012-32	2012	STAB		6.2	15.5		H	Fledged		Y.GG	4	4
2450-89887	2012-32	2012	STAB		6.3	16.5		H	Fledged		Y.GG	4	4
2450-89888	2012-32	2012	STAB		6.6	16.5		H	Fledged		Y.GG	4	4
2450-89889	2012-32	2012	STAB		6.6	17		H	Fledged		Y.GG	4	4
2450-89890	2012-34	2012	STAB		7.5	22.5		H	Fledged		P.RW	5	5
2450-89891	2012-34	2012	STAB		6.4	19.5		H	Fledged		P.RW	5	5
2450-89892	2012-34	2012	STAB		6.8	19.5		H	Fledged		P.RW	5	5
2450-89893	2012-34	2012	STAB		6.6	20		H	Fledged		P.RW	5	5
2450-89894	2012-34	2012	STAB		7.3	22		H	Fledged		P.RW	5	5
2450-89903	2012-38	2012	STAB		6	18		H	Fledged		W.BY	4	4
2450-89904	2012-38	2012	STAB		6.2	18.5		H	Fledged		W.BY	4	4
2450-89905	2012-38	2012	STAB		6.8	18.5		H	Fledged		W.BY	4	4
2450-89906	2012-38	2012	STAB		5.3	16.5		H	Fledged		W.BY	4	4
ns2012-05	2012-40	2012	STAB					NH	Fledged	NA	L.WG	5	4
2450-89876	2012-40	2012	STAB		6.1	16.5		H	Fledged		L.WG	5	4
2450-89877	2012-40	2012	STAB		6.2	17.5		H	Fledged		L.WG	5	4
2450-89878	2012-40	2012	STAB		7.4	18.5		H	Fledged		L.WG	5	4
2450-89879	2012-40	2012	STAB		5.9	15		H	Fledged		L.WG	5	4
2450-89907	2012-41	2012	STAB		7	17.5		H	Fledged		G.GP	3	3
2450-89908	2012-41	2012	STAB		5.7	14.5		H	Fledged		G.GP	3	3
2450-89909	2012-41	2012	STAB		7.1	20.5		H	Fledged		G.GP	3	3
2450-89895	2012-44	2012	STAB		7.5	22		H	Fledged		.IB	4	4
2450-89896	2012-44	2012	STAB		6.7	20.5		H	Fledged		.IB	4	4
2450-89897	2012-44	2012	STAB		5.3	17.5		H	Fledged		.IB	4	4
2450-89898	2012-44	2012	STAB		7.1	22		H	Fledged		.IB	4	4
ns2012-06	2012-45	2012	STAB					NH	Fledged	NA	O.Y	4	2
ns2012-07	2012-45	2012	STAB					NH	Fledged	NA	O.Y	4	2
2450-89899	2012-45	2012	STAB		7.7	23.5		H	Fledged		O.Y	4	2
2450-89900	2012-45	2012	STAB		8.6	24.5		H	Fledged		O.Y	4	2
2450-89922	2012-49	2012	STAB		7.2	20		H	Fledged		Y.WB	3	3
2450-89923	2012-49	2012	STAB		6.3	17.5		H	Fledged		Y.WB	3	3
2450-89924	2012-49	2012	STAB		5.5	15.5		H	Fledged		Y.WB	3	3
2450-89920	2012-50	2012	STAB		3.6	11		H	Fledged		R.I	2	2
2450-89921	2012-50	2012	STAB		5.4	15.5		H	Fledged		R.I	2	2
2450-89911	2012-52	2012	STAB		6.5	19		H	Fledged		B.RP	4	4
2450-89912	2012-52	2012	STAB		6.9	20		H	Fledged		B.RP	4	4
2450-89913	2012-52	2012	STAB		7.1	19		H	Fledged		B.RP	4	4
2450-89914	2012-52	2012	STAB		5.9	16.5		H	Fledged		B.RP	4	4
2450-89801	2012-54	2012	STAB		6.9	21.5		H	Fledged		G.B	3	3
2450-89915	2012-54	2012	STAB		6.2	18		H	Fledged		G.B	3	3
2450-89916	2012-54	2012	STAB		4.9	15.5		H	Fledged		G.B	3	3
2450-89917	2012-55	2012	STAB		7	19.5		H	Fledged		L.P	3	3
2450-89918	2012-55	2012	STAB		6	22		H	Fledged		L.P	3	3
2450-89919	2012-55	2012	STAB		6.2	18.5		H	Fledged		L.P	3	3
